"YEAR","SALES","SALESPC","INCPC","RPRICE","CIGTOB","TOBPC","PRTOB","DF","ASTOCK","ADV","TOBADV","REALAD","TPERCIG","ASTOCK1","ASTOCK2","F","L","LNI"
1930,118.9,1329,701.1,74.2,43.58,8.62,0.84,0,1.18915,46.2,53.8,0.48377,0.00283,1.18915,0,0,0,-0.6688
1931,113.6,1254,652.7,86.84,43.23,8.55,0.94,0,1.39317,50.1,61.5,0.59643,0.00285,1.39316,0,0,0,-0.7453
1932,102.5,1117,546.5,96.82,41.56,7.44,1.04,0,1.49735,41.9,46.7,0.56393,0.00275,1.49735,0,0,0,-0.9706
1933,111.3,1198,527.9,87.63,42.96,7.59,0.97,0,1.56667,41.3,45.6,0.56344,0.00263,1.56666,0,0,0,-1.0211
1934,125.4,1333,589.4,91.02,45.3,8.11,0.98,0,1.68602,49.7,46.4,0.63636,0.00278,1.68603,0,0,0,-0.8681
1935,134,1406,666.1,90.27,48.67,8,0.95,0,1.70033,44,39.6,0.57069,0.0027,1.70033,0,0,0,-0.7228
1936,152.2,1576,733,89.88,51.13,8.59,0.93,0,1.70958,45.8,45.8,0.57036,0.00272,1.70958,0,0,0,-0.6248
1937,162.3,1661,798.1,89.77,52.74,8.71,0.93,0,1.70097,45,40.1,0.55556,0.00271,1.70097,0,0,0,-0.548
1938,163,1647,739.6,92.86,53.19,8.53,0.95,0,1.70542,45.6,40.3,0.56576,0.00269,1.70541,0,0,0,-0.6163
1939,171.6,1712,794.5,95.91,55.08,8.61,0.99,0,1.66012,41.4,38.9,0.5175,0.00271,1.66012,0,0,0,-0.55187
1940,181.3,1785,859.7,99.05,55.61,8.92,1,0,1.64999,43.5,42,0.5377,0.00271,1.64998,0,0,0,-0.48804
1941,208.3,2024,994.8,96.6,59.49,9.57,0.98,0,1.59117,42.4,45.5,0.48568,0.00272,1.59117,0,0,0,-0.38736
1942,244.3,2346,1108.6,89.96,64.74,10.45,0.91,0,1.46325,39.2,41.1,0.39716,0.00281,1.46325,0,0,0,-0.32537
1943,283.3,2688,1182.1,88.03,68.25,11.2,0.9,0,1.39846,46.7,48.1,0.41808,0.00272,1.39846,0,0,0,-0.29307
1944,295.3,2769,1194.4,87.86,70.42,10.97,0.91,0,1.28863,42.2,34.3,0.35167,0.00267,1.28863,0,0,0,-0.28815
1945,339.3,3153,1140.2,87.76,72.81,12.19,0.92,0,1.09084,28.5,30.8,0.22745,0.00275,1.09084,0,0,0,-0.31084
1946,342.9,3160,1107.1,82.22,74.96,11.92,0.88,0,0.99036,32.8,33.9,0.25949,0.00274,0.99036,0,0,0,-0.32608
1947,344.1,3139,1071.2,78.03,75.31,11.72,0.83,0,0.97117,43.5,44,0.30764,0.00267,0.97118,0,0,0,-0.34395
1948,357.7,3231,1094.4,76.14,76.21,11.88,0.81,0,0.98999,51.2,51.9,0.3393,0.00269,0.98999,0,0,0,-0.33224
1949,360,3216,1068.1,79.13,77.33,11.7,0.84,0,1.09825,65.2,63.9,0.43496,0.00272,1.09825,0,0,0,-0.34556
1950,368.5,3260,1151,79.75,77.62,11.73,0.85,0,1.16346,65,63,0.42763,0.00271,1.16346,0,0,0,-0.30611
1951,395.7,3466,1222.7,76.61,78.89,12.25,0.81,0,1.25363,76.9,73.2,0.47411,0.00266,1.25362,0,0,0,-0.27729
1952,414.6,3595,1233.5,78.99,79.63,12.36,0.83,0,1.37189,88.2,82.7,0.53197,0.00269,1.37189,0,0,0,-0.27331
1953,406.8,3494,1264.7,82.4,80.08,12.66,0.86,0,1.54021,103.9,96,0.62104,0.00275,1.54021,0,3,0,-0.2623
1954,385.6,3277,1217.2,83.11,79.19,11.88,0.87,0,1.73436,119.2,109.1,0.70242,0.0027,1.73436,0,9,0,-0.27935
1955,395,3319,1282.7,83.67,79.15,11.7,0.88,0,1.88734,124.9,113.6,0.72532,0.00263,1.88734,0,19,0,-0.25625
1956,405,3360,1280.6,84.4,80.26,11.23,0.88,0,2.10112,149,134.8,0.83661,0.00256,2.10112,0,28,0,-0.25694
1957,447.2,3440,1270.9,83.87,80.51,11.14,0.88,0,2.53438,208.2,157.5,1.12662,0.00245,2.53438,0,38,0,-0.26019
1958,447.2,3610,1232.2,84.41,80.65,11.3,0.88,0,2.7967,208.2,188.7,1.09869,0.00239,2.79671,0,45,0,-0.27378
1959,467.5,3714,1291.3,89.58,80.82,11.19,0.91,0,3.05656,227.8,207,1.18276,0.00233,3.05656,0,49,0,-0.25343
1960,484.6,3805,1301.6,90.98,81.56,10.78,0.92,0,3.19201,223.9,203,1.1441,0.00231,3.19199,0,51,0,-0.25012
1961,503,3870,1304.3,91.07,82,10.89,0.92,0,3.25255,221.1,201.2,1.11554,0.00231,3.25418,0,53,0,-0.24927
1962,509.3,3804,1365.5,90.95,82.12,10.66,0.92,0,3.38648,241.6,221.3,1.20619,0.0023,3.38649,0,55,0,-0.23099
1963,525,3862,1401.2,92.69,82.34,10.6,0.93,0,3.67951,286.2,286.6,1.41055,0.00226,3.67949,0,58,0,-0.22126
1964,512.5,3755,1465.5,93.22,79.81,10.33,0.94,0,3.9187,299.7,300.9,1.45344,0.0022,3.9187,0,61,0.3,-0.20524
1965,530.4,3824,1531.1,96.4,81.41,10.33,0.97,0,4.06153,301.7,303.1,1.43598,0.0022,4.06151,0,64,0.2,-0.19065
1966,543,3849,1616,98.77,81.65,9.98,0.99,0,4.30157,341.2,342.3,1.58036,0.00212,4.30158,0,68,0.7,-0.174
1967,551.2,3841,1637.1,100,82.04,9.96,1,0.12382,4.4868,357.7,362.4,1.60476,0.00207,4.48681,0,72,2,-0.1702
1968,547.6,3751,1697.6,102.3,82.06,9.48,1.02,0.88453,4.54369,356.4,360.8,1.53753,0.00208,4.5437,0,74,2.5,-0.15999
1969,530.7,3575,1723.7,102.46,81.37,8.99,1.02,1.41522,4.48891,350.9,355.7,1.44463,0.00204,4.4889,0,77,3,-0.15588
1970,538.7,3565,1697.9,105.33,80.68,8.66,1.04,1.06143,4.41607,361,366.7,1.40851,0.00195,4.41607,0,80,3.6,-0.15995
1971,555.1,3609,1736.4,105.61,81.41,8.51,1.04,0,4.03441,288.6,293.1,1.07566,0.00192,2.95877,1.07566,82,3.8,-0.15393
1972,565.4,3615,1843.4,107.98,82.38,8.63,1.06,0,3.77024,295.5,306.7,1.06717,0.00197,1.98237,1.78787,84,6.6,-0.1389
1973,590,3711,1929.2,104.43,83.11,8.53,1.03,0,3.49534,283.9,293.8,0.96927,0.00191,1.32819,2.16714,85,8.9,-0.1284
1974,599,3709,1866,98.71,84.04,8.41,0.97,0,3.43305,351.9,357.5,1.09116,0.00191,0.88989,2.54315,86,8.9,-0.13601
1975,607.2,3709,1816.9,97.02,84.57,8.2,0.95,0,3.69507,491.3,494.5,1.39495,0.00187,0.59622,3.09886,87,13.5,-0.14241
1976,613.5,3687,1910.3,95.66,84.58,7.81,0.94,0,4.20162,639.1,641.2,1.7259,0.00179,0.39947,3.80213,88,15.9,-0.13061
1977,617,3653,2143.8,94.21,84.92,7.65,0.93,0,4.80665,779.1,781.7,1.99156,0.00178,0.26764,4.53899,90,22.7,-0.10685
1978,616,3592,2236.2,92.02,85.06,7.31,0.91,0,5.48167,875,878.3,2.26124,0.00173,0.17932,5.30237,90,27.5,-0.09923
