"DATE","GOLD","MARK76","RKFR76"
7601,-0.10386,0.156,0.00369
7602,0.05101,0.069,0.00369
7603,0.01071,0.01,0.0039
7604,-0.03494,-0.012,0.00383
7605,-0.00771,0.005,0.00415
7606,-0.00965,0.016,0.00431
7607,-0.06505,-0.017,0.00416
7608,-0.06703,-0.016,0.00389
7609,0.04142,0.007,0.00412
7610,0.01736,-0.029,0.00386
7611,0.12637,0,0.00355
7612,0.02306,0.111,0.00345
7701,-0.01109,0.015,0.00372
7702,0.02874,-0.012,0.00362
7703,0.08703,0.008,0.00367
7704,0.007,0.004,0.00359
7705,-0.01637,-0.005,0.00394
7706,-0.04394,0.07,0.004
7707,0.04845,-0.002,0.00435
7708,-0.01301,-0.023,0.00445
7709,0.03048,0.008,0.00476
7710,0.06156,-0.051,0.00473
7711,-0.02912,0.083,0.0045
7712,0.04163,0.039,0.00467
7801,0.07788,-0.045,0.00487
7802,0.02821,0.01,0.00494
7803,0.03057,0.05,0.00526
7804,-0.04548,0.063,0.00491
7805,0.0045,0.067,0.00513
7806,0.04295,0.007,0.00527
7807,0.02814,0.071,0.00528
7808,0.09005,0.079,0.00607
7809,0.02977,0.002,0.00645
7810,0.07194,-0.189,0.00685
7811,-0.09443,0.084,0.00719
7812,0.00941,0.015,0.0069
7901,0.09336,0.058,0.00761
7902,0.08042,0.011,0.00761
7903,-0.01428,0.123,0.00769
7904,-0.01333,0.026,0.00764
7905,0.07745,0.014,0.00772
7906,0.08434,0.075,0.00715
7907,0.05802,-0.013,0.00728
7908,0.02064,0.095,0.00789
7909,0.18394,0.039,0.00802
7910,0.09749,-0.097,0.00913
7911,0.00163,0.116,0.00819
7912,0.16912,0.086,0.00747
8001,0.47437,0.124,0.00883
8002,-0.01418,0.112,0.01073
8003,-0.1682,-0.243,0.01181
8004,-0.06696,0.08,0.00753
8005,-0.0074,0.062,0.0063
8006,0.16878,0.086,0.00503
8007,0.07083,0.065,0.00602
8008,-0.02459,0.025,0.00731
8009,0.07699,0.015,0.0086
8010,-0.02162,0.006,0.00895
8011,-0.05855,0.092,0.01137
8012,-0.04421,-0.056,0.00977
8101,-0.06308,-0.014,0.01092
8102,-0.1025,-0.009,0.01096
8103,-0.003,0.067,0.01025
8104,-0.00774,-0.008,0.01084
8105,-0.03053,0.064,0.01255
8106,-0.03966,-0.003,0.01128
8107,-0.1126,-0.033,0.01154
8108,0.00494,-0.031,0.01169
8109,0.0808,-0.164,0.01054
8110,-0.0143,0.062,0.01003
8111,-0.05686,0.069,0.00816
8112,-0.00855,-0.039,0.0074
8201,-0.06156,-0.079,0.00949
8202,-0.02619,-0.101,0.00946
8203,-0.11714,-0.028,0.01067
8204,0.06141,0.041,0.00972
8205,-0.0461,0.003,0.00908
8206,-0.05799,-0.078,0.00914
8207,0.07975,-0.006,0.00714
8208,0.07607,0.122,0.00503
8209,0.19015,0.008,0.00563
8210,-0.03079,0.136,0.0062
8211,-0.01897,0.049,0.00614
8212,0.07367,0.014,0.00648
8301,0.07919,0.065,0.00646
8302,0.02199,0.028,0.00599
8303,-0.14419,0.043,0.00686
8304,0.02952,0.097,0.00652
8305,0.01291,0.08,0.00649
8306,-0.05673,0.048,0.00673
8307,0.0256,-0.017,0.00714
8308,-0.01686,-0.034,0.00668
8309,-0.01158,0,0.00702
8310,-0.04246,-0.082,0.00678
8311,-0.02957,0.066,0.00683
8312,0.01488,-0.012,0.00693
8401,-0.04322,-0.029,0.00712
8402,0.04059,-0.03,0.00672
8403,0.02159,0.003,0.00763
8404,-0.03213,-0.003,0.00741
8405,-0.01126,-0.058,0.00627
8406,0.00103,0.005,0.00748
8407,-0.08266,-0.058,0.00771
8408,0.0036,0.146,0.00852
8409,-0.01942,0,0.0083
8410,-0.00217,-0.035,0.00688
8411,0.00285,-0.019,0.00602
8412,-0.06479,-0.001,0.00612
8501,-0.06265,0.097,0.00606
8502,0.0172,0.012,0.00586
8503,-0.044,0.008,0.0065
8504,0.13447,-0.01,0.00601
8505,-0.02165,0.019,0.00512
8506,-0.01393,-0.003,0.00536
8507,-0.00816,0.012,0.00562
8508,0.03275,0.005,0.00545
8509,-0.0144,-0.055,0.00571
8510,0.01663,0.026,0.00577
8511,-0.00413,0.059,0.0054
8512,-0.02318,0.013,0.00479
