"OBSNO","LQUAL","LY1","LY2","LY3","LY4","LY5","DMR","PJF","PND"
"1","1.435085","14.75792","15.61442","15.72289","14.30267","14.28263","0","0","0"
"2","1.435085","14.28648","15.27948","15.26080","13.38473","13.83983","0","0","1"
"3","1.335001","14.82150","15.56324","15.54485","14.10127","14.29699","0","1","0"
"4","1.335001","14.80161","15.54621","15.49174","13.71271","14.07965","0","0","0"
"5","1.335001","14.40330","15.33317","15.24754","13.76070","13.99269","0","0","0"
"6","1.435085","14.82366","15.36895","15.33710","14.07551","14.33766","0","0","0"
"7","1.410987","14.59413","15.57646","15.69501","13.93067","13.98968","0","0","0"
"8","1.410987","14.36644","14.95941","14.75852","13.46976","13.90286","0","0","1"
"9","1.410987","14.55794","15.31765","15.28892","13.86552","14.11922","0","1","0"
"10","1.410987","14.57392","15.37079","15.24312","13.65148","13.98666","0","0","0"
"11","1.410987","14.60978","15.43363","15.55111","13.80053","14.13722","0","0","0"
"12","1.410987","14.57847","15.38519","15.39380","13.86210","14.14831","0","0","0"
"13","1.410987","14.61901","15.41650","15.44947","13.99355","13.93067","0","0","0"
"14","1.223775","14.26085","14.89879","14.70203","13.53226","13.45001","0","0","1"
"15","1.223775","14.47157","15.22562","15.31673","13.73324","13.95460","1","1","0"
"16","1.223775","14.51810","15.22136","15.37791","13.61956","13.98795","1","0","0"
"17","1.686399","14.39500","15.38038","15.47144","13.79688","13.91082","1","0","0"
"18","1.686399","14.53172","15.38209","15.42833","13.67595","14.14610","1","0","0"
"19","1.686399","14.46623","15.25425","15.38860","13.61518","13.96614","1","0","0"
"20","1.686399","14.20199","15.08195","15.16525","13.21627","13.82673","1","0","1"
"21","1.686399","14.47157","14.99582","15.41267","13.61706","13.97098","1","1","0"
"22","1.526056","14.23692","15.09245","15.22700","13.24662","13.74377","1","0","0"
"23","1.526056","14.45032","15.26442","15.33922","13.66469","13.90192","1","0","0"
"24","1.526056","14.46221","15.15482","15.19395","13.62702","13.82114","1","0","0"
"25","1.526056","14.35065","15.17346","15.24250","13.41158","13.79111","1","0","0"
"26","1.526056","14.07985","15.10721","15.02638","13.23294","13.64360","1","0","1"
"27","1.335001","14.06677","14.90950","15.03096","13.32499","13.58916","1","1","0"
"28","1.335001","14.62633","15.48099","15.55849","13.86112","14.17908","1","0","0"
"29","1.335001","14.23952","14.97734","14.94331","13.34181","13.65706","1","0","0"
"30","1.648659","14.34637","15.06574","15.06508","13.34797","13.71951","1","0","0"
"31","1.648659","14.31885","15.22669","15.17313","13.58222","13.69725","1","0","0"
"32","1.648659","14.08319","14.83380","14.96827","13.06945","13.49710","1","0","1"
"33","1.280934","14.18999","14.98918","14.98799","13.24526","13.57637","1","1","0"
"34","1.280934","14.33796","15.08603","15.15868","13.44779","13.74046","1","0","0"
"35","1.280934","14.48018","15.26125","15.26478","13.48487","13.87269","1","0","0"
"36","1.280934","14.33201","15.09345","15.16148","13.62733","13.78545","1","0","0"
"37","1.280934","14.35335","15.14156","15.27234","13.43717","13.77469","1","0","0"
"38","1.335001","14.11647","14.86296","15.01998","13.13308","13.44333","1","0","1"
"39","1.335001","14.19999","15.01106","14.87956","13.24798","13.66781","0","1","0"
"40","1.335001","14.32718","15.02482","15.10686","13.26413","13.65390","0","0","0"
"41","1.335001","14.33247","15.16448","15.18757","13.54461","13.78664","0","0","0"
"42","1.335001","14.57344","15.39781","15.46624","13.84320","14.04509","0","0","0"
"43","1.335001","14.54973","15.18317","15.19127","13.62779","13.79492","0","0","0"
"44","1.335001","14.24979","15.12030","15.19030","13.27078","13.70157","0","0","1"
"45","1.335001","14.26805","14.82638","14.82156","13.14488","13.68242","0","1","0"
"46","1.335001","14.47311","15.25971","15.22867","13.46497","13.82653","0","0","0"
"47","1.335001","14.51846","15.10079","15.19764","13.63270","13.86620","0","0","0"
"48","1.335001","14.37732","15.11867","15.15156","13.64189","13.75134","0","0","0"
"49","1.335001","14.45882","15.17688","15.23613","13.51149","13.78458","0","0","0"
"50","1.435085","14.29699","15.03484","15.08588","13.28553","13.67501","0","0","1"
"51","1.435085","14.43443","15.15439","15.23851","13.75232","13.90268","0","1","0"
"52","1.435085","14.55069","15.23338","15.22229","13.41664","13.85325","0","0","0"
"53","1.435085","14.66171","15.30068","15.27891","13.66290","13.85177","0","0","0"
"54","1.435085","14.54965","15.16130","15.30221","13.71152","13.96154","0","0","0"
